Book Reference No,Description,Material,Museum Reference No,Citation
386,NECKLACE,"Silver, carnelian, glass; Diam. of the pendant 2.0 cm","Khartoum, National Museum 2157","386 NECKLACE

Silver, carnelian, glass; Diam. of the pendant 2.0 cm
From Meroe, western cemetery,

Tomb Beg. W 308

Harvard University—MFA Boston Expedition,
January 1923, field no. 23-1-318a

Meroitic, ap. 40-90

Khartoum, National Museum 2157

Composed of two hundred small
beads of silver, carnelian, and glass,
this necklace bears crescent-shaped sil-
ver pendants with spherical tips. The
central pendant shows a Bes figure in
gilded relief standing before a lunar
disk and crescent moon. The necklace
was found in a child’s tomb.

Lit: RCK Y, 150f,, fig. 10
"
387,LION HEAD ORNAMENT,"Gold; H. 1.8 cm, W. 1.7 cm","Khartoum, National Museum 1982","387 LION HEAD ORNAMENT

Gold; H. 1.8 cm, W. 1.7 cm

From Heroe, northern cemetery, Pyramid Beg. N 34
Harvard University—HFA Boston Expedition,
January 1922, field no. 22-1-26

Meroitic, 40. 175-190

Khartoum, National Museum 1982

The lion head is set into a silver cres-
cent moon. Both motifs are attributes
of the goddess Tefnut, consort of Shu.
As a divine couple, Shu and Tefnut are
closely associated with the theology of
Gebel Barkal (cf. cat. 287),

Lit: ACK W, 164f, fig. 107, 213, pl. LXILC

336

NAPAiA AND MEROE
"
388,SHEATH FOR A STAFF,"Gold; H. 2 cm, Diam. 2 cm","Khartoum, National Museum 1968","388 SHEATH FOR A STAFF

Gold; H. 2 cm, Diam. 2 cm

From Meroe, northern cemetery, Pyramid Beg.
N 6, Chamber A

Harvard University-MFA Boston Expedition,
March 192I, field no. 21-3-605

Meroitic, 10 8.c—0

Khartoum, National Museum 1968

The representation of the bound cap-
tive, so common in the iconography of
foreign enemies, is repeated ten times
around the exterior of this sheath,
which was probably affixed to the end
of a staff or scepter. It was discovered
by G. Reisner during his re-excavation
of the pyramid of Queen Amani-
shakheto, which had earlier been
destroyed by Ferlini in his search for

treasure.

Lit: RCK WW, 108f, fig. 73, 111, 211, pl. LAL
"
390,SIGNET RING,"Gold; H. 2.4 cm, bezel 1.7 x 1.55 cm","Khartoum, National Museum 1986","390 SIGNET RING

Gold; H. 2.4 cm, bezel 1.7 x 1.55 cm
From Meroe, western cemetery,

Tomb Beg. W 134

Harvard University-HFA Boston Expedition,
February 1922, field no. 22-2-517b
Meroitic, .0. 40-90

Khartoum, National Museum 1986

A ram-headed falcon sits facing right
within a bark whose bow and stern
terminate in papyrus umbels. The fal-
con wears the double-plumed crown
with sun-disk and uraeus serpent.

Lit.: RCK V, 230f., fig. 160.3
"
402,SPHERICAL VESSEL,"Fired and painted clay; H. 31.5 cm,","Khartoum, National Museum 5716","402 SPHERICAL VESSEL

Fired and painted clay; H. 31.5 cm,
Diam. 28.5 cm

From Argo island, surface find
Meroitic, first to third century A.0.
Khartoum, National Museum 5716

On the upper half of this vessel are three
bands with half-moons and one with
spheres (“academic school,” according
to the classification of Wenig).

Lit.: Unpublished
"
403,SQUAT FLASK,"Fired clay, red incrustations; H. 23.7 cm, Diam. 17 cm","Khartoum, National Museum 2103","403 SQUAT FLASK

Fired clay, red incrustations; H. 23.7 cm, Diam. 17 cm
From Heroe, western cemetery, Tomb Beg. W 418
Harvard University—MFA Boston Expedition,
February 1923, field no. 23-2-231
Neroitic, beginning of the Christian era
Khartoum, National Museum 2103

A red-filled dotted pattern runs down

the vessel in vertical stripes.

Lit: ACK Y, 99, 346, fig. } (5); cf. Geus, in Van Moorsel, ed.,
New Discoveries (Leiden, 1982), 17, pl. Vil, fig. 6

345
"
409,INCENSE STAND,"Fired clay; H. 36 cm, Diam. 48 cm","Khartoum, National Museum 2098","409 INCENSE STAND

Fired clay; H. 36 cm, Diam. 48 cm

From Heroe, western cemetery, Tomb Beg. W 108
Harvard University-HFA Boston Expedition,
February 1922, field no, 22-2-105

Heroitic, beginning of the Christian era

Khartoum, National Museum 2098

This wheel-thrown incense stand has a
pattern of perforated life (ankh) signs
on its conical foot and a semicircular
opening with two horizontal slits
beneath. This type of cult object is
attested at a number of sites.

on ea eee Lit: RCKY, 223; cf. op. cit., 345, fig. 1.6

348

--- Page 352 ---
MEROiiI1C CERAMICS
"
412,BEAKER,"Fired and painted clay; H. 7.4 cm,","Khartoum, National Museum 18875","412 BEAKER
Fired and painted clay; H. 7.4 cm,
Diam. 8.5 cm
Provenance not known
From the Yon Bissing collection
Meroitic, second century 4.0.
Munich, Staatliche Sammlung Agyptischer Kunst
AS 1822

The four frogs on one side and the
four birds between slanted branches
on the other can be interpreted as
images of water, earth, and air.

Lit: Catalogue Staatliche Sammlung Agyptischer Kunst, 239

412
v 4l3>

4|3 SPHERICAL BOTTLE

Fired and painted clay; H. 25 cm, Diam. 18 cm
From Semna South, Tomb M-153,

field no, H-153/1

Meroitic, second to third century A.D.

Khartoum, National Museum 18875

A wreath of lotus blossoms runs
around the shoulder. Six crouching
frogs with broad collars adorn the ves-
sel body, a plant stem with three leaves
(ankh signs?) extending diagonally
upward from each of their front legs.

Lit: Zabkar and Zabkar, JARCE 19 (1982): 22, 43, pl. ¥

350

--- Page 354 ---


--- Page 355 ---
414/415
"
416,Bow.,"Fired and painted clay; H. 18.2 cm,","Khartoum, National Museum 2924","416 Bow.

Fired and painted clay; H. 18.2 cm,

Diam. 29.3 cm

From Kawa, Site Ill, House 1, Room |
Oxford Excavations 1935-36, field no. 2164
Meroitic, second to third century AD.
Khartoum, National Museum 2924

Lotus blossoms alternate with lotus
buds, taking full advantage of the
shape of the vessel.

Lit: Hacadam, Kawa Il (London, 1955), 230, pl. CV.ii a

353

--- Page 357 ---"
417,AMPHORA,"Fired and painted day; H. 35.1 om, Diam. 26.1 cm","Khartoum, National Museum 4288","417 AMPHORA

Fired and painted day; H. 35.1 om, Diam. 26.1 cm
From Faras, Heroitic cemetery

Oxford Excavations 1911-12, field no, 1/2713/2
Heroitic

Khartoum, National Museum 4288

This amphora differs from typical
Meroitic ceramics in material, form,

and decoration. It apparently came to
Lower Nubia from Roman Egypt as

packing material for imported goods.

Lit: Faras Heroitic Cemetery, Catalogue (Tomb Register), 515
"
418,EGG-sHaPED vesset,"Fired and painted day; H. 37.2 cm, Diam. 26.5 cm","Khartoum, National Museum 13638","418 EGG-sHaPED vesset

Fired and painted day; H. 37.2 cm, Diam. 26.5 cm
From Serra East/Shirfadik, Site 24-1-32, Tomb 239

Scandinavian Joint Expedition 1962, field
no. 24-1-32: 239/]

Heroitic, Ao. 200-400
Khartoum, National Museum 13638

The decoration of this late Meroitic
vessel consists of concentric circles.

Four small lug handles adorn the low
neck.

Lit: T, Save-Soderbergh et al., Late Nubian Cemeteries. The
Scandinavian Joint Expedition to Sudanese Nubia 6 (Arlov,
1982), 128, pl. 86.2; cf. Adams, Kush 12 (1964): fig. 8 (K 6)

THE KINGDOM OF
"
419,SPHERICAL VESSEL,"Fired and painted clay; H. 31.2 cm, Diam. 25.2 cm","Khartoum, National Museum 14765","419 SPHERICAL VESSEL

Fired and painted clay; H. 31.2 cm, Diam. 25.2 cm
From Gamai, Site 5-X-40, Tomb 34

SAS UNESCO 1962, field no. 5-X-40: G 34/1
Heroitic, Ao. 200-400

Khartoum, National Museum 14765

As with cat. 420, the cylindrical neck
represents a late variant of a vessel
form already known from the begin-
ning of the Christian era (cf. cat. 404).

Lit: Unpublished

4l7

NAPATA AND

MEROE
"
420,SPHERICAL VESSEL,"Fired and painted clay; H. 29.5 cm, Diam 23 cm","Khartoum, National Museum 4251","420 SPHERICAL VESSEL

—

Fired and painted clay; H. 29.5 cm, Diam 23 cm
From Faras, Meroitic cemetery

Meroitic, 4.0. 200-400

Khartoum, National Museum 4251

Lit: Unpublished

418/419/420 >

354

sowee con emoonmsisestits
———— ner

neni

9 el AR YO”

--- Page 358 ---
MEROITIC CERAMICS

355

--- Page 359 ---
THE KINGDOM OF NAPATA AND MEROE
"
42,EGG-SHAPED FLASK,"Fired and painted clay; H. 32 cm, Diam. 24 cm","Khartoum, National Museum 799 A","42 EGG-SHAPED FLASK

Fired and painted clay; H. 32 cm, Diam. 24 cm
From Faras, Meroitic cemetery, Tomb 630
Oxford Expedition 1910—I1, field no. 1/630/3

Meroitic, first century A.D.
Khartoum, National Museum 799 A

Beneath the band of spheres on the
neck, three standing figures face left,
filling the entire height of the vessel
body. They follow the cubist principle
of Egyptian art in combining profile
and frontal perspective. The individual
style of the drawings, distinguished by
thin arms, frail legs, emphasis on the
hindquarters, and oversized eyes,
ascribes the vessel to the “prisoner
painter,” one of the individual artists
whose hand stands out unmistakably
from among the masses of anonymous
Meroitic vase painters. Many of his fig-
ures show.bonds drawn on the hands.
The painted double line running across
the necks of the figures here may also
represent binding ropes.

Lit: Unpublished. On the “prisoner painter” cf. Wenig,
catalogue AiA Il, 290, no. 236, 237; idem, Heroitica 5
(1979); 130; Térdk, in Th. Hage, Nubian Culture: Past and

Present (Uppsala, 1987), 202

4421

356

--- Page 360 ---
_—

MEROITIC CERAMICS

422/423
"
432,OFFERING BASIN,"Sandstone; L. 72.2 cm, W. 30 cm, H. 10.1 cm","Khartoum, National Museum 27500","432 OFFERING BASIN

Sandstone; L. 72.2 cm, W. 30 cm, H. 10.1 cm
From Naga, Lion Temple Naga 300, Room 301
Naga-Projekt Berlin 1996, field no. 301-1
Meroitic, beginning of the Christian era
Khartoum, National Museum 27500

This sandstone offering basin imitates
the form and function of ceramic
examples known from a number of
sites. The central rosette is flanked by
two life (ankh) signs and in turn by
four-petaled blossoms. The motifs
resemble high, narrow bridges against

361

the deeply recessed background. They
are drilled through in several areas to
let water flow out of the basin. By
coming in contact with the ankh signs,
the water was magically purified.

The basin comes from the inner room
of the Lion Temple at Naga, near the
base of the god's shrine, and was used
for the cult of the lion-god Apedemak.
A similarly decorated example was
unearthed in situ directly in front of the

shrine.

Lit: Unpublished

--- Page 365 ---"
